employer,department,employee_id,ssn
Stiedemann-Bailey,Research and Development,29-0890771,100-53-9824
Stiedemann-Bailey,Research and Development,29-0890771,100-53-9824
Connelly Group,Research and Development,98-7952860,101-84-0356
Kunze LLC,Research and Development,78-2612900,114-06-6912
Pfannerstill Group,Research and Development,43-1532437,116-10-7235
Schmeler and Sons,Research and Development,62-3275199,117-77-9748
"Cruickshank, Legros and Keebler",Research and Development,57-1590433,123-62-2832
Altenwerth-Heidenreich,Research and Development,58-3628686,129-67-0291
Schuster Group,Research and Development,72-4728604,137-13-1889
Tromp Inc,Research and Development,06-3360383,145-78-3985
King LLC,Research and Development,39-4026042,156-91-6848
Gerhold-Marquardt,Research and Development,25-6013938,157-51-5269
"Carroll, Konopelski and Wunsch",Research and Development,43-4797129,166-10-4488
Zemlak LLC,Research and Development,86-8667896,168-81-0838
Roberts LLC,Research and Development,91-2028080,172-77-4263
"Zulauf, Hudson and Wisozk",Research and Development,39-1896194,173-99-7372
Kertzmann-Reichel,Research and Development,67-0581933,181-28-8337
Kling-Howe,Research and Development,71-7470887,183-10-5024
Turner-Connelly,Research and Development,92-1687621,186-65-7773
"Von, O'Kon and Runolfsdottir",Research and Development,34-6414700,188-40-4336
"Mante, Roberts and Miller",Research and Development,98-1318396,198-70-6443
"Hilpert, Kassulke and Gutkowski",Research and Development,02-6484055,200-81-7151
"MacGyver, Armstrong and Murray",Research and Development,68-8311842,205-69-7375
"Sawayn, Marvin and Rempel",Research and Development,74-6068283,211-15-5182
"Pollich, Hodkiewicz and Kris",Research and Development,34-4050792,224-84-2271
Batz-Bahringer,Research and Development,74-1907423,228-55-2042
Tremblay LLC,Research and Development,45-6122996,236-37-2567
Schmeler Inc,Research and Development,75-1537754,237-80-7039
Reichel-O'Hara,Research and Development,96-3899752,238-13-8034
O'Keefe-Cruickshank,Research and Development,34-1983927,240-32-8915
"Christiansen, Conroy and Hettinger",Research and Development,96-5661085,245-60-5880
"Aufderhar, Quigley and Wiza",Research and Development,87-9571848,255-81-0958
"Carroll, Treutel and Kub",Research and Development,83-9766179,262-09-2144
"Mitchell, Robel and Yost",Research and Development,44-4519112,262-46-7573
"Schultz, West and Cummings",Research and Development,81-8904444,262-55-4066
Jacobson LLC,Research and Development,83-4988535,262-66-7030
Collier Inc,Research and Development,81-5101189,287-66-2660
Mayert-Volkman,Research and Development,11-7283397,296-90-4908
"Predovic, Renner and Hansen",Research and Development,16-1755710,315-26-2241
