employer,department,employee_id,ssn
Nicolas and Sons,Sales,41-6841359,101-71-4702
Ryan Group,Sales,08-8274517,116-77-4915
Kulas-Corwin,Sales,78-0632027,127-68-4232
Kertzmann-O'Hara,Sales,44-8015165,128-42-4599
Gibson and Sons,Sales,57-8173633,131-81-4310
Greenholt LLC,Sales,84-5391800,141-15-0543
Balistreri Inc,Sales,92-8183627,149-18-7272
Mann-Stehr,Sales,82-9383132,189-49-1458
Larson and Sons,Sales,18-3961077,213-28-1395
Gislason-Padberg,Sales,20-8472919,217-81-5416
Smith-Bergstrom,Sales,11-8895205,224-12-3436
Ziemann-Lowe,Sales,73-0391148,224-54-6919
"Feeney, Champlin and Predovic",Sales,68-8708911,225-64-2735
Johns LLC,Sales,20-4360965,228-90-5077
Donnelly-Reichel,Sales,51-6219405,240-67-6258
"Bauch, Monahan and Hagenes",Sales,44-9784881,256-57-0666
Feeney Inc,Sales,94-9045161,271-81-9938
Pfannerstill-Rowe,Sales,05-0913038,278-55-5842
Beatty and Sons,Sales,71-9137028,288-54-7233
Kozey Group,Sales,27-3066253,299-77-1060
"Muller, Blanda and Quigley",Sales,87-6217832,301-26-4306
White-Fahey,Sales,30-2737861,301-51-0522
Smitham-Herman,Sales,64-1439160,320-90-1419
Schimmel and Sons,Sales,75-6111866,330-99-3055
Hoppe-Dickens,Sales,72-4063548,332-83-6591
Beahan-Little,Sales,70-1386102,333-95-5025
Okuneva and Sons,Sales,97-4377037,342-90-9333
Prosacco-Herzog,Sales,38-6538811,347-64-8652
D'Amore Inc,Sales,97-1951142,361-49-4597
"Metz, Reynolds and Jerde",Sales,28-0030219,384-30-6793
Erdman-Davis,Sales,18-0647578,384-94-2772
"Monahan, Weber and Reynolds",Sales,59-3207276,385-30-1777
Bechtelar-McCullough,Sales,01-1786654,390-74-3062
Klocko-Frami,Sales,35-0739294,393-22-6585
Okuneva-Lehner,Sales,46-4308357,397-29-8349
Jones Inc,Sales,48-2299282,397-87-8282
Yost and Sons,Sales,07-7718175,409-90-8946
Rempel-O'Connell,Sales,56-9638561,415-42-0898
"Streich, Batz and Carter",Sales,54-0581511,415-74-2251
Wiza Group,Sales,68-2794098,427-36-0095
Hagenes Group,Sales,42-9807742,452-26-9999
Feil-Kohler,Sales,19-1571650,453-99-0644
"Little, Olson and Towne",Sales,34-7928148,470-94-7669
"Kirlin, MacGyver and Roberts",Sales,70-0955510,472-23-0389
Heller-Connelly,Sales,59-3433099,495-64-2134
"Bartell, Friesen and Lakin",Sales,80-7946674,497-73-2347
"Kunde, Schroeder and Rippin",Sales,53-2515201,500-71-6995
Ebert-Carter,Sales,03-0999485,511-95-4867
Feeney Group,Sales,41-3035896,517-05-0600
"Gorczany, Green and VonRueden",Sales,82-8312036,549-90-2887
Moore-Grady,Sales,61-0281247,559-33-6365
Conroy and Sons,Sales,66-1939780,564-89-9688
"Mueller, Schuppe and Rempel",Sales,76-9375903,566-56-7324
Romaguera-Gibson,Sales,72-7686176,583-61-3519
"Torphy, Doyle and Padberg",Sales,70-3159834,592-23-4343
Ritchie LLC,Sales,40-1830316,594-37-6620
Reichel-Will,Sales,03-5313601,608-13-9301
Hamill and Sons,Sales,49-8651282,620-81-4914
"Gerlach, Lowe and Moen",Sales,55-1013656,629-54-4455
"Rogahn, Hickle and Leuschke",Sales,75-0981332,641-11-8353
Gorczany-Friesen,Sales,74-1585533,648-92-3395
Windler Inc,Sales,53-6449997,650-63-9841
Quitzon Group,Sales,52-4061438,659-43-4520
Ernser-Crooks,Sales,21-4570883,670-66-6403
Rath Inc,Sales,26-2704393,671-16-1411
Hoppe Inc,Sales,14-6526397,696-10-4037
Ledner-Hane,Sales,32-2514606,701-53-6262
Keebler Inc,Sales,03-2791013,724-90-0728
Ebert-O'Hara,Sales,10-0990580,733-29-1354
Nolan-Jacobs,Sales,33-0137869,738-38-4091
Koepp-Kutch,Sales,82-3219784,741-56-7694
Cruickshank Group,Sales,12-6803384,746-55-1405
Miller-Kuhic,Sales,75-1235886,749-85-8879
"Murray, Boyle and Bashirian",Sales,83-5303621,782-60-6848
Frami-Cruickshank,Sales,56-3838122,790-04-1283
Cormier-Quigley,Sales,45-4824943,807-50-8539
"Mayert, Mueller and Stamm",Sales,23-5127432,807-60-5615
"Kemmer, Rolfson and Marquardt",Sales,60-7054525,823-27-0762
Johnson Group,Sales,67-3262618,835-54-3785
"Boehm, Goldner and Wisozk",Sales,29-9226065,846-09-9851
Flatley-Huel,Sales,59-0940865,849-98-2973
Moen Inc,Sales,98-1092646,853-11-8953
"Heidenreich, Stehr and Huel",Sales,89-1713880,864-91-7489
"Glover, Jacobs and Heidenreich",Sales,72-1577952,872-18-9267
Cummings-Mertz,Sales,78-2291834,872-49-1288
"O'Connell, Raynor and Veum",Sales,16-0843654,881-88-7308
Christiansen LLC,Sales,66-1175841,893-12-0901
Bins-Gerhold,Sales,89-9965641,898-03-3165
