ssn,last_updated,created
105-91-5022,2018-03-24 14:29:33,2016-03-24 03:43:03
105-91-5022,2018-03-24 14:29:33,2016-03-24 03:43:03
131-81-4310,2018-03-21 12:02:31,2016-02-03 23:26:27
138-67-1198,2018-03-04 08:14:31,2016-09-24 01:52:46
172-23-7739,2018-03-02 23:30:36,2016-05-12 16:01:48
173-99-7372,2018-03-03 15:18:26,2016-10-26 15:24:37
209-50-8146,2018-03-13 17:52:16,2016-04-10 07:14:25
211-04-1734,2018-03-11 20:29:12,2016-08-30 15:59:14
216-89-3812,2018-03-11 20:02:23,2016-07-28 07:03:44
230-48-0684,2018-03-26 06:15:57,2016-12-29 06:00:03
257-12-6834,2018-03-27 21:18:39,2016-11-24 09:46:05
294-53-1911,2018-03-08 15:24:15,2016-07-22 21:42:17
309-04-0364,2018-03-23 00:53:44,2016-01-18 03:37:59
310-60-2027,2018-03-20 12:53:17,2016-10-25 03:04:20
315-44-9671,2018-03-12 23:39:35,2016-10-19 09:51:09
319-43-0465,2018-03-08 08:22:23,2016-10-30 00:03:54
336-48-2579,2018-03-02 16:26:48,2016-04-28 19:21:15
355-52-9767,2018-03-20 23:03:28,2016-09-25 21:05:36
370-24-5876,2018-03-10 11:48:29,2016-10-18 08:30:53
378-66-0449,2018-03-12 22:26:57,2016-10-30 23:22:07
384-94-2772,2018-03-10 21:16:37,2016-02-23 21:47:27
385-34-7828,2018-03-20 08:57:25,2016-12-22 19:44:35
386-15-7960,2018-03-27 09:56:49,2016-08-07 23:59:02
397-29-8349,2018-03-22 14:14:02,2016-05-29 20:18:22
399-63-8810,2018-03-05 13:05:28,2016-02-29 05:22:17
412-59-8022,2018-03-09 07:03:20,2016-08-22 15:34:30
416-87-0469,2018-03-26 22:14:13,2016-05-12 03:26:59
421-01-2511,2018-03-19 13:36:26,2016-07-31 17:41:15
434-41-2365,2018-03-07 21:39:34,2016-05-28 02:57:41
445-49-0727,2018-03-24 09:24:05,2016-12-27 17:57:26
452-26-9999,2018-03-14 13:42:20,2016-10-08 12:12:44
495-64-2134,2018-03-02 01:16:24,2016-04-08 01:38:27
500-45-7881,2018-03-09 03:36:58,2016-06-13 15:45:12
505-88-6030,2018-03-11 11:28:33,2016-01-09 23:30:05
506-02-3957,2018-03-26 10:53:26,2016-08-19 22:34:54
510-34-4633,2018-03-15 14:30:23,2016-10-12 20:26:13
536-23-6599,2018-03-08 16:15:55,2016-08-21 03:28:18
551-57-4018,2018-03-20 20:28:18,2016-06-18 20:47:47
559-33-6365,2018-03-28 19:40:00,2016-09-23 17:18:33
561-98-2281,2018-03-03 10:35:08,2016-04-23 08:10:39
576-41-7443,2018-03-24 13:07:48,2016-11-11 23:18:08
585-96-1853,2018-03-21 05:22:51,2016-04-17 20:47:16
587-94-0609,2018-03-18 16:53:48,2016-09-30 14:28:13
603-31-3174,2018-03-05 13:44:43,2016-04-26 19:38:09
604-19-5709,2018-03-05 14:31:26,2016-12-01 01:36:20
608-13-9301,2018-03-27 00:00:32,2016-07-19 07:55:13
623-98-4252,2018-03-11 06:59:54,2016-09-16 01:15:15
625-84-8454,2018-03-24 07:01:42,2016-03-26 08:55:23
627-36-1126,2018-03-17 15:40:40,2016-02-10 21:40:20
634-90-4851,2018-03-25 08:52:19,2016-01-02 20:40:16
640-86-4661,2018-03-22 08:58:59,2016-01-12 00:14:10
687-98-6782,2018-03-12 05:36:23,2016-06-26 08:48:22
698-94-3612,2018-03-02 20:18:21,2016-09-13 06:27:53
738-65-3635,2018-03-16 06:32:33,2016-02-28 11:38:16
746-55-1405,2018-03-19 22:03:58,2016-05-09 20:19:17
749-85-8879,2018-03-15 11:44:12,2016-08-16 12:10:53
773-21-9639,2018-03-02 08:43:41,2016-02-07 11:06:08
773-82-1734,2018-03-18 02:18:27,2016-02-25 17:48:36
780-69-8282,2018-03-30 05:53:21,2016-05-14 22:09:03
784-88-0730,2018-03-21 03:30:28,2016-05-13 11:04:30
787-05-9008,2018-03-09 00:38:25,2016-06-28 01:11:13
822-30-4861,2018-03-06 15:41:52,2016-11-05 05:11:25
849-64-6624,2018-03-23 20:28:43,2016-01-10 18:03:17
856-67-4080,2018-03-13 21:23:09,2016-06-22 03:53:18
861-50-6716,2018-03-30 21:07:08,2016-09-16 09:12:34
867-88-2360,2018-03-11 16:42:31,2016-11-04 18:34:52
872-18-9267,2018-03-22 21:11:58,2016-04-27 03:27:17
888-50-7008,2018-03-06 16:54:20,2016-06-09 11:03:40
893-12-0901,2018-03-27 01:24:58,2016-06-14 02:41:25
