ssn,last_updated,created
100-53-9824,2017-10-07 00:14:42,2016-01-24 21:19:30
100-53-9824,2017-10-07 00:14:42,2016-01-24 21:19:30
101-71-4702,2017-01-23 11:23:17,2016-01-27 04:32:57
118-95-7100,2017-04-25 07:54:46,2016-01-29 12:05:28
123-88-3381,2017-02-21 16:37:38,2016-01-30 23:42:36
138-88-5288,2017-02-24 15:47:36,2016-01-04 09:37:53
140-33-9727,2017-09-21 23:04:48,2016-01-27 09:02:26
150-64-6357,2018-02-14 23:35:53,2016-01-28 03:19:50
154-17-7912,2017-04-19 22:08:24,2016-01-29 12:43:45
168-02-5324,2018-01-04 21:50:39,2016-01-29 15:31:40
174-13-2047,2017-01-28 14:24:40,2016-01-12 16:53:59
198-70-6443,2017-02-13 07:16:31,2016-01-22 05:10:14
212-40-0215,2017-02-01 18:11:47,2016-01-06 22:31:22
224-54-6919,2017-02-11 17:13:36,2016-01-30 09:03:19
224-99-0668,2017-04-01 17:51:23,2016-01-03 06:43:07
236-31-8333,2017-01-03 13:02:01,2016-01-16 12:51:28
247-86-5288,2017-08-07 13:12:28,2016-01-13 05:54:25
248-07-9757,2018-02-25 14:10:22,2016-01-25 22:14:58
287-66-2660,2018-01-08 05:09:53,2016-01-03 15:12:03
288-54-7233,2017-04-09 03:49:03,2016-01-13 21:17:03
295-63-7693,2017-02-28 11:27:31,2016-01-07 04:36:56
296-88-0097,2017-06-28 19:41:12,2016-01-01 23:18:36
301-26-4306,2017-06-20 20:49:12,2016-01-25 11:01:19
305-07-1498,2017-06-18 05:38:20,2016-01-31 18:06:58
309-04-0364,2018-03-23 00:53:44,2016-01-18 03:37:59
312-77-3647,2017-04-30 02:56:29,2016-01-13 20:57:51
315-78-5587,2017-08-20 18:09:02,2016-01-17 12:12:42
323-33-8689,2018-02-06 11:18:46,2016-01-30 06:55:54
324-73-8895,2018-01-31 14:40:37,2016-01-31 04:08:41
342-55-0538,2017-08-30 11:09:11,2016-01-01 10:27:44
349-53-8864,2017-12-27 21:15:03,2016-01-28 10:14:46
349-67-7502,2018-02-16 04:12:54,2016-01-12 23:12:17
356-39-9199,2017-12-04 23:53:17,2016-01-28 06:55:58
361-06-1530,2017-05-06 15:05:47,2016-01-21 23:06:03
378-79-0193,2017-04-15 16:31:52,2016-01-26 16:53:16
379-07-8748,2018-01-12 10:47:39,2016-01-16 03:56:28
386-97-3523,2017-11-13 13:40:53,2016-01-09 18:15:53
403-65-1535,2017-12-17 05:20:26,2016-01-09 08:11:36
407-30-0910,2017-08-12 23:54:25,2016-01-17 05:46:54
416-37-7763,2017-12-26 01:18:50,2016-01-12 22:04:30
416-38-3607,2017-04-24 20:10:44,2016-01-14 22:09:43
418-72-1888,2018-02-23 09:23:21,2016-01-12 12:19:29
424-92-0863,2017-11-01 16:49:04,2016-01-16 17:05:35
428-79-0781,2018-01-30 01:53:32,2016-01-07 17:54:14
457-57-7890,2017-04-26 10:48:34,2016-01-30 09:47:45
459-29-7955,2017-02-20 01:40:33,2016-01-30 15:41:29
471-28-1745,2017-04-06 14:11:14,2016-01-26 14:19:48
491-90-1059,2017-10-17 14:24:43,2016-01-04 05:49:42
495-62-6374,2017-05-21 12:26:52,2016-01-16 18:49:45
497-69-5399,2017-02-20 04:42:30,2016-01-18 05:30:53
505-88-6030,2018-03-11 11:28:33,2016-01-09 23:30:05
507-40-9429,2017-09-01 07:06:29,2016-01-27 19:38:50
507-67-9726,2018-02-28 00:40:09,2016-01-04 08:12:11
519-15-9299,2018-02-26 07:12:29,2016-01-17 05:02:15
522-54-3565,2018-02-10 22:53:17,2016-01-16 08:03:57
526-45-2767,2018-01-02 04:36:28,2016-01-17 03:59:02
526-98-9361,2017-04-03 02:58:51,2016-01-16 10:59:40
534-68-0554,2018-01-27 23:43:57,2016-01-24 05:51:46
555-99-5216,2018-01-27 02:43:43,2016-01-31 03:29:40
566-62-0141,2017-02-18 07:17:52,2016-01-11 04:58:23
578-58-6435,2017-12-27 08:53:35,2016-01-02 15:27:34
582-71-1805,2017-12-03 11:39:18,2016-01-07 13:02:26
601-01-2163,2017-03-22 11:37:39,2016-01-22 01:21:34
601-04-5606,2018-02-26 20:14:17,2016-01-10 19:15:36
617-38-3504,2017-05-22 11:45:40,2016-01-08 20:37:03
634-90-4851,2018-03-25 08:52:19,2016-01-02 20:40:16
640-86-4661,2018-03-22 08:58:59,2016-01-12 00:14:10
652-96-9901,2017-06-08 17:56:13,2016-01-27 00:12:46
656-92-1337,2017-12-05 11:09:20,2016-01-25 11:30:29
658-34-0029,2017-05-01 12:27:03,2016-01-25 17:21:32
667-87-7090,2017-04-06 08:33:35,2016-01-24 10:41:14
675-31-0953,2017-09-20 22:55:45,2016-01-09 18:15:03
727-48-6769,2017-01-25 10:45:49,2016-01-17 15:04:05
767-05-4859,2018-01-31 21:21:01,2016-01-27 09:33:55
777-94-4586,2017-12-31 01:14:06,2016-01-05 01:14:12
782-46-9660,2017-04-01 05:08:18,2016-01-01 08:04:02
807-60-5615,2017-01-20 08:10:18,2016-01-21 10:04:00
817-80-8930,2017-10-15 05:52:17,2016-01-25 15:09:01
823-75-5753,2017-11-26 01:36:57,2016-01-27 23:15:38
847-61-7656,2017-12-19 09:38:38,2016-01-30 09:05:32
849-64-6624,2018-03-23 20:28:43,2016-01-10 18:03:17
881-88-7308,2017-08-11 11:40:28,2016-01-18 12:51:00
